icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
4cadf7,RYR3JT  ,Ireland,1721483211,1721483211,1.7749,51.9344,5265.42,False,199.3,298.02,-5.2,,5463.54,0615,False,0,2024-07-19 10:00:00
406231,CFE4544 ,United Kingdom,1721483211,1721483211,-4.0431,55.8445,1524.0,False,133.91,334.03,-5.2,,1531.62,7513,False,0,2024-07-19 10:00:00
40754b,GSTUU   ,United Kingdom,1721483211,1721483211,-0.2578,51.7006,640.08,False,58.46,83.94,-0.33,,,,False,0,2024-07-19 10:00:00
4bd189,SXS9YX  ,Turkey,1721483211,1721483211,1.426,51.2483,6134.1,False,202.39,101.14,8.78,,6347.46,4726,False,0,2024-07-19 10:00:00
4cae49,RYR2132 ,Ireland,1721483211,1721483211,-3.7138,50.0244,11582.4,False,256.97,5.74,-0.33,,11902.44,7455,False,0,2024-07-19 10:00:00
4073a0,EZY809A ,United Kingdom,1721483211,1721483211,-6.1753,54.7611,2324.1,False,147.26,77.08,21.78,,2308.86,1443,False,0,2024-07-19 10:00:00
4cae68,RYR5SL  ,Ireland,1721483211,1721483211,-4.2439,55.5949,5760.72,False,173.47,216.8,9.75,,5867.4,2061,False,0,2024-07-19 10:00:00
4cae64,RYR68YX ,Ireland,1721483211,1721483211,-4.3478,53.6263,10363.2,False,218.95,274.99,0.33,,10629.9,6031,False,0,2024-07-19 10:00:00
4cae65,RYR4JU  ,Ireland,1721483212,1721483212,-0.3303,51.4099,5341.62,False,184.57,22.28,-5.2,,5524.5,5360,False,0,2024-07-19 10:00:00
4cae66,RYR149Z ,Ireland,1721483211,1721483211,-1.6174,52.1164,3832.86,False,156.93,171.9,12.68,,3931.92,7501,False,0,2024-07-19 10:00:00
401f41,GODAC   ,United Kingdom,1721483211,1721483211,-1.5929,52.8975,411.48,False,36.32,164.39,0.33,,411.48,,False,0,2024-07-19 10:00:00
401f2c,GBIPN   ,United Kingdom,1721483207,1721483211,-0.5125,53.4179,655.32,False,33.5,266.48,0.0,,655.32,,False,0,2024-07-19 10:00:00
aad5ca,AAL333  ,United States,1721483211,1721483211,-4.8869,56.7874,10972.8,False,264.86,295.42,0.0,,11216.64,6156,True,0,2024-07-19 10:00:00
4073f6,GINES   ,United Kingdom,1721483212,1721483212,-0.2305,53.4512,586.74,False,42.33,253.77,-0.33,,579.12,,False,0,2024-07-19 10:00:00
3472cc,IBE3165 ,Spain,1721483211,1721483211,-1.8039,50.3204,9441.18,False,213.89,210.02,9.1,,9768.84,2227,False,0,2024-07-19 10:00:00
4d234e,RYR4ML  ,Malta,1721483211,1721483212,-5.5525,53.2695,2133.6,False,132.62,36.96,0.0,,2148.84,5534,False,0,2024-07-19 10:00:00
4d2385,RYR63WC ,Malta,1721483104,1721483104,-0.1552,51.6412,5334.0,False,199.57,15.4,-10.4,,5524.5,6331,False,0,2024-07-19 10:00:00
401c69,GBEII   ,United Kingdom,1721483177,1721483177,-1.0709,53.7609,320.04,False,33.82,296.18,-1.95,,312.42,0723,False,0,2024-07-19 10:00:00
4cad39,RYR64CK ,Ireland,1721483212,1721483212,-4.3839,52.5263,7376.16,False,205.47,299.39,-7.48,,7597.14,6231,False,0,2024-07-19 10:00:00
4070e6,EXS1YT  ,United Kingdom,1721483211,1721483211,-2.0313,54.0502,10972.8,False,248.8,328.87,0.33,,11269.98,7512,False,0,2024-07-19 10:00:00
4070e4,EXS4VQ  ,United Kingdom,1721483211,1721483211,-1.5225,54.0194,6477.0,False,184.39,301.07,-8.45,,6675.12,3124,False,0,2024-07-19 10:00:00
402f1b,GLUSK   ,United Kingdom,1721483211,1721483211,0.4285,51.7003,579.12,False,36.59,207.65,0.0,,563.88,,False,0,2024-07-19 10:00:00
3c458c,BOX445  ,Germany,1721483211,1721483211,-7.6576,53.1097,11277.6,False,257.66,104.45,0.0,,11521.44,2043,False,0,2024-07-19 10:00:00
4cad51,EAI6F   ,Ireland,1721483211,1721483211,-6.3577,53.4708,777.24,False,86.95,307.55,6.83,,762.0,2010,False,0,2024-07-19 10:00:00
4cad3f,RYR8MU  ,Ireland,1721483211,1721483211,-2.0977,53.4388,876.3,False,89.63,228.26,-5.53,,891.54,7625,False,0,2024-07-19 10:00:00
4cad3a,RYR5593 ,Ireland,1721483211,1721483212,-8.3555,50.396,10972.8,False,239.07,193.44,0.0,,11231.88,4244,False,0,2024-07-19 10:00:00
4cad9f,EAI42A  ,Ireland,1721483211,1721483211,-5.9012,54.2125,4351.02,False,125.9,38.7,2.93,,4411.98,5167,False,0,2024-07-19 10:00:00
402f89,GSRWN   ,United Kingdom,1721483177,1721483180,-1.0807,52.0411,243.84,False,36.53,270.81,-2.93,,228.6,7000,True,0,2024-07-19 10:00:00
4d21ed,RYR3VQ  ,Malta,1721483211,1721483211,0.1384,51.0019,6164.58,False,183.86,317.38,-8.45,,6393.18,5762,False,0,2024-07-19 10:00:00
4cad7a,EIN16C  ,Ireland,1721483126,1721483126,-6.248,53.4218,,True,11.83,95.62,,,,7740,False,0,2024-07-19 10:00:00
4cad7b,EIN168E ,Ireland,1721483014,1721483018,-6.2565,53.4337,,True,6.17,16.88,,,,,False,0,2024-07-19 10:00:00
4cad7c,EIN38W  ,Ireland,1721483067,1721483067,-0.4491,51.4676,,True,0.9,70.31,,,,,False,0,2024-07-19 10:00:00
4cad7e,EIN9AL  ,Ireland,1721483212,1721483212,-0.489,51.6283,2735.58,False,121.57,151.16,-0.98,,2819.4,4221,False,0,2024-07-19 10:00:00
4cad7f,EIN715  ,Ireland,1721483212,1721483212,-7.9417,51.6935,2865.12,False,176.57,265.15,-6.83,,2918.46,1450,False,0,2024-07-19 10:00:00
86e778,ANA215  ,Japan,1721483212,1721483212,-3.0073,54.2699,12489.18,False,238.16,154.54,0.0,,12839.7,6322,False,0,2024-07-19 10:00:00
40734a,GTTEC   ,United Kingdom,1721483211,1721483211,-3.7238,50.5544,1508.76,False,80.34,83.01,0.0,,1531.62,,False,0,2024-07-19 10:00:00
4cabd1,EIN13X  ,Ireland,1721483207,1721483207,-6.2511,53.4271,,True,5.4,326.25,,,,,False,0,2024-07-19 10:00:00
4d2247,RYR96SP ,Malta,1721483211,1721483211,0.4692,51.3737,11277.6,False,234.99,100.6,0.0,,11673.84,2204,False,0,2024-07-19 10:00:00
4d2212,RYR3TF  ,Malta,1721483212,1721483212,-0.099,53.2209,11277.6,False,239.26,91.11,0.0,,11643.36,2277,False,0,2024-07-19 10:00:00
4d2220,RYR84WB ,Malta,1721483211,1721483211,-2.651,53.3308,11277.6,False,227.16,97.29,0.0,,11582.4,1150,False,0,2024-07-19 10:00:00
406018,EZY51HA ,United Kingdom,1721483211,1721483211,-2.294,49.9763,9928.86,False,196.57,203.28,8.45,,10256.52,2020,False,0,2024-07-19 10:00:00
406012,EZY56BR ,United Kingdom,1721483211,1721483211,-1.585,54.9482,9707.88,False,238.32,293.13,-17.23,,10043.16,6671,False,0,2024-07-19 10:00:00
4d2269,RYR4HN  ,Malta,1721483210,1721483211,-5.5632,54.1325,5387.34,False,157.43,212.18,-11.05,,5494.02,1412,False,0,2024-07-19 10:00:00
493293,NJE168N ,Portugal,1721483211,1721483211,-2.1205,52.2523,11887.2,False,211.3,141.62,0.0,,12222.48,2275,False,0,2024-07-19 10:00:00
493289,NJU251D ,Portugal,1721483211,1721483211,-0.8056,51.0801,4320.54,False,136.7,111.64,17.88,,4457.7,2701,False,0,2024-07-19 10:00:00
401d0f,GENTW   ,United Kingdom,1721483211,1721483211,-0.3758,51.7137,640.08,False,51.41,71.93,-1.63,,609.6,,False,0,2024-07-19 10:00:00
4cac23,RYR2291 ,Ireland,1721483212,1721483212,-3.7348,49.9351,9144.0,False,228.57,4.39,0.33,,9410.7,5510,False,0,2024-07-19 10:00:00
4cac7f,RYR7ZD  ,Ireland,1721483211,1721483212,-3.2094,52.8337,3726.18,False,182.27,19.97,-7.48,,3817.62,5351,False,0,2024-07-19 10:00:00
4cac5e,EJVAIS  ,Ireland,1721483137,1721483137,-6.4777,53.3556,152.4,False,46.25,242.86,-3.9,,152.4,3607,False,0,2024-07-19 10:00:00
40700a,EXS3PD  ,United Kingdom,1721483211,1721483211,-0.1476,51.2555,6096.0,False,198.67,324.91,0.0,,6286.5,1064,False,0,2024-07-19 10:00:00
403ffd,GINXS   ,United Kingdom,1721483211,1721483211,-1.0824,53.3788,381.0,False,37.55,99.46,2.28,,358.14,,False,0,2024-07-19 10:00:00
a8f00e,UAL147  ,United States,1721483211,1721483211,-1.75,53.3242,9304.02,False,262.4,326.84,6.18,,9585.96,6226,False,0,2024-07-19 10:00:00
